,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,1,2,3,a,b,exited
0,0.538,0.3243243,0.2,0.0,0.0,1,1,0.5067349,1,0,0,1,0,1
1,0.516,0.3108108,0.1,0.3340315,0.0,0,1,0.56270874,0,0,1,1,0,0
2,0.304,0.3243243,0.8,0.6363572,0.6666667,1,0,0.56965435,1,0,0,1,0,1
3,0.698,0.2837838,0.1,0.0,0.33333334,0,0,0.46912006,1,0,0,1,0,0
4,1.0,0.33783785,0.2,0.5002462,0.0,1,1,0.39540038,0,0,1,1,0,0
5,0.59,0.35135135,0.8,0.45339435,0.33333334,1,0,0.7487972,0,0,1,0,1,1
6,0.944,0.43243244,0.7,0.0,0.33333334,1,1,0.0502609,1,0,0,0,1,0
7,0.052,0.14864865,0.4,0.45853972,1.0,1,0,0.5967335,0,1,0,1,0,1
8,0.302,0.35135135,0.4,0.5661704,0.33333334,0,1,0.37468037,1,0,0,0,1,0
9,0.668,0.12162162,0.2,0.53648823,0.0,1,1,0.358605,1,0,0,0,1,0
10,0.356,0.17567568,0.6,0.4066062,0.33333334,0,0,0.400886,1,0,0,0,1,0
11,0.294,0.08108108,0.3,0.0,0.33333334,1,0,0.38192862,0,0,1,0,1,0
12,0.252,0.21621622,1.0,0.0,0.33333334,1,0,0.13125953,1,0,0,1,0,0
13,0.398,0.0945946,0.5,0.0,0.33333334,0,0,0.95432216,1,0,0,1,0,0
14,0.57,0.22972973,0.7,0.0,0.33333334,1,1,0.32973185,0,0,1,1,0,0
15,0.532,0.36486486,0.3,0.5704683,0.33333334,0,1,0.3216091,0,1,0,0,1,0
16,0.606,0.5405405,0.1,0.5285129,0.0,1,0,0.02543288,0,1,0,0,1,1
17,0.398,0.08108108,0.9,0.0,0.33333334,1,1,0.07198103,0,0,1,1,0,0
18,0.474,0.36486486,0.6,0.0,0.0,0,0,0.79344195,0,0,1,0,1,0
19,0.752,0.08108108,0.6,0.0,0.33333334,1,1,0.2735884,1,0,0,1,0,0
20,0.764,0.3108108,0.8,0.0,0.33333334,1,1,0.8544546,1,0,0,0,1,0
21,0.572,0.1891892,0.8,0.0,0.33333334,1,0,0.69278556,0,0,1,1,0,0
22,0.32,0.27027026,0.4,0.0,0.0,1,0,0.5945665,0,0,1,1,0,1
23,0.638,0.3783784,0.3,0.0,0.33333334,0,1,0.042384896,1,0,0,0,1,0
24,0.992,0.27027026,0.5,0.0,0.0,1,1,0.9381125,1,0,0,1,0,0
